algorithm, heuristic, disk_num, moves, solution found?, total cpu ticks, heuristic cpu ticks,
astar, admissible, 4, 8, 1, 22, 1,
astar, admissible, 4, 8, 1, 79, 5,
astar, admissible, 4, 9, 1, 90, 6,
astar, admissible, 4, 9, 1, 95, 2,
astar, admissible, 4, 8, 1, 23, 2,
astar, admissible, 4, 0, 1, 0, 0,
astar, admissible, 4, 9, 1, 84, 1,
astar, admissible, 4, 9, 1, 65, 5,
astar, admissible, 4, 8, 1, 21, 1,
astar, admissible, 4, 8, 1, 24, 1,
astar, admissible, 4, 6, 1, 9, 0,
astar, admissible, 4, 9, 1, 76, 5,
astar, admissible, 4, 8, 1, 28, 0,
astar, admissible, 4, 6, 1, 7, 0,
astar, admissible, 4, 9, 1, 91, 6,
astar, admissible, 4, 7, 1, 24, 0,
astar, admissible, 4, 9, 1, 97, 7,
astar, admissible, 4, 4, 1, 1, 0,
astar, admissible, 4, 8, 1, 34, 2,
astar, admissible, 4, 9, 1, 93, 5,
astar, non-admissible, 4, 8, 1, 48, 3,
astar, non-admissible, 4, 9, 1, 65, 2,
astar, non-admissible, 4, 9, 1, 125, 7,
astar, non-admissible, 4, 9, 1, 31, 1,
astar, non-admissible, 4, 8, 1, 30, 2,
astar, non-admissible, 4, 0, 1, 0, 0,
astar, non-admissible, 4, 9, 1, 45, 1,
astar, non-admissible, 4, 9, 1, 43, 5,
astar, non-admissible, 4, 9, 1, 29, 1,
astar, non-admissible, 4, 8, 1, 27, 1,
astar, non-admissible, 4, 6, 1, 5, 0,
astar, non-admissible, 4, 9, 1, 34, 2,
astar, non-admissible, 4, 8, 1, 28, 0,
astar, non-admissible, 4, 6, 1, 4, 0,
astar, non-admissible, 4, 9, 1, 65, 3,
astar, non-admissible, 4, 7, 1, 9, 1,
astar, non-admissible, 4, 9, 1, 47, 1,
astar, non-admissible, 4, 4, 1, 1, 0,
astar, non-admissible, 4, 8, 1, 25, 0,
astar, non-admissible, 4, 9, 1, 39, 0,
